Date,Open,High,Low,Close,Volume
2018-12-28,6326.62,6388.36,6233.69,6285.27,379153448
2018-12-31,6354.84,6365.39,6273.93,6329.96,361820690
2019-01-02,6198.68,6394.73,6198.68,6360.87,389965517
2019-01-03,6274.76,6292.68,6139.4,6147.13,449532759
2019-01-04,6250.06,6445.2,6234.59,6422.67,444750000
2019-01-07,6434.55,6521.45,6412.98,6488.25,432336207
2019-01-08,6555.91,6574.73,6457,6551.85,410050000
2019-01-09,6576.54,6631.06,6549.44,6600.69,417687931
2019-01-10,6551.05,6625.11,6517.54,6620.94,375703448
2019-01-11,6579.89,6604.56,6562.04,6601.4,356293103
2019-01-14,6536.37,6566.87,6512.64,6541.04,334863793
2019-01-15,6571.15,6674.54,6567.32,6669.64,351394828
2019-01-16,6677.38,6720.41,6665.05,6668.56,370617241
2019-01-17,6646.19,6747.29,6637.1,6718.45,367041379
2019-01-18,6771.52,6816.23,6727.94,6784.61,422627586
